# ------------------------------------------------------------------------
# Noise and sensitivity radiance spectrum
# NASA-GSFC Planetary Spectrum Generator (PSG) (Villanueva et al. 2015)
# Background sky sources include: CMB, Zodiacal dust (emitted and reflected), and Cirrus
# Synthesized on Sun Jun 10 15:35:49 2018
# ------------------------------------------------------------------------
# Spectral unit: Wavelength [um]
# Radiance unit: Contrast [radiance ratio w.r.t. parent star]
# Wave/freq Total Source Detector Telescope Background
7.791251359e-01  3.35548e-04  3.34616e-04  2.49820e-05  5.79790e-81  9.28196e-08
7.802381718e-01  3.36403e-04  3.35462e-04  2.51444e-05  7.57812e-81  9.34449e-08
7.813527978e-01  3.35880e-04  3.34941e-04  2.51021e-05  9.82075e-81  9.33096e-08
7.824690161e-01  3.33923e-04  3.32997e-04  2.48470e-05  1.26142e-80  9.23825e-08
7.835868290e-01  3.36582e-04  3.35631e-04  2.52777e-05  1.66460e-80  9.40053e-08
7.847062387e-01  3.32961e-04  3.32038e-04  2.47748e-05  2.11548e-80  9.21556e-08
7.858272476e-01  3.34987e-04  3.34045e-04  2.51109e-05  2.77923e-80  9.34266e-08
7.869498580e-01  3.31085e-04  3.30173e-04  2.45672e-05  3.52305e-80  9.14237e-08
7.880740721e-01  3.32158e-04  3.31234e-04  2.47607e-05  4.59902e-80  9.21636e-08
7.891998922e-01  3.30069e-04  3.29160e-04  2.44865e-05  5.88853e-80  9.11624e-08
7.903273206e-01  3.30501e-04  3.29585e-04  2.45849e-05  7.65183e-80  9.15479e-08
7.914563596e-01  3.32570e-04  3.31635e-04  2.49272e-05  1.00375e-79  9.28420e-08
7.925870116e-01  3.30338e-04  3.29419e-04  2.46303e-05  1.28268e-79  9.17549e-08
7.937192787e-01  3.34461e-04  3.33504e-04  2.52811e-05  1.70207e-79  9.41981e-08
7.948531634e-01  3.33832e-04  3.32878e-04  2.52222e-05  2.19451e-79  9.39974e-08
7.959886679e-01  3.28451e-04  3.27539e-04  2.44545e-05  2.74870e-79  9.11542e-08
7.971257946e-01  3.27223e-04  3.26319e-04  2.43074e-05  3.52825e-79  9.06234e-08
7.982645457e-01  3.25734e-04  3.24839e-04  2.41218e-05  4.51985e-79  8.99485e-08
7.994049237e-01  3.25713e-04  3.24816e-04  2.41529e-05  5.84006e-79  9.00811e-08
8.005469307e-01  3.27939e-04  3.27022e-04  2.45169e-05  7.64697e-79  9.14558e-08
8.016905692e-01  3.24572e-04  3.23679e-04  2.40527e-05  9.67390e-79  8.97401e-08
8.028358414e-01  3.25959e-04  3.25052e-04  2.42918e-05  1.25937e-78  9.06485e-08
8.039827497e-01  3.23577e-04  3.22687e-04  2.39738e-05  1.60151e-78  8.94776e-08
8.051312965e-01  3.27799e-04  3.26872e-04  2.46347e-05  2.11973e-78  9.19604e-08
8.062814841e-01  3.21634e-04  3.20755e-04  2.37554e-05  2.63194e-78  8.86927e-08
8.074333148e-01  3.23441e-04  3.22545e-04  2.40555e-05  3.43046e-78  8.98283e-08
8.085867910e-01  3.23820e-04  3.22918e-04  2.41456e-05  4.43040e-78  9.01797e-08
8.097419149e-01  3.25166e-04  3.24251e-04  2.43801e-05  5.75371e-78  9.10701e-08
8.108986891e-01  3.20528e-04  3.19649e-04  2.37268e-05  7.19952e-78  8.86439e-08
8.120571158e-01  3.19923e-04  3.19046e-04  2.36712e-05  9.23166e-78  8.84501e-08
8.132171974e-01  3.19330e-04  3.18455e-04  2.36173e-05  1.18338e-77  8.82620e-08
8.143789363e-01  3.18620e-04  3.17749e-04  2.35462e-05  1.51530e-77  8.80095e-08
8.155423347e-01  3.19113e-04  3.18235e-04  2.36521e-05  1.95421e-77  8.84186e-08
8.167073952e-01  3.18595e-04  3.17719e-04  2.36090e-05  2.50350e-77  8.82704e-08
8.178741201e-01  3.17362e-04  3.16494e-04  2.34608e-05  3.19172e-77  8.77286e-08
8.190425117e-01  3.20775e-04  3.19876e-04  2.39992e-05  4.18732e-77  8.97544e-08
8.202125724e-01  3.23856e-04  3.22928e-04  2.44943e-05  5.47905e-77  9.16185e-08
8.213843046e-01  3.19338e-04  3.18446e-04  2.38531e-05  6.83803e-77  8.92322e-08
