results_atm.txt
# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2016, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: ExoEarth like Gatlin b - CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(3.71-5.00um)
# ------------------------------------------------------------------------
# Wave/freq ExoEarth-like-Gatlin-b Transit Planet
2.902635367e+00 -9.92022e-04 -9.92022e-04  1.05521e-16
2.904449514e+00 -9.87018e-04 -9.87018e-04  3.27396e-16
2.906264795e+00 -9.82168e-04 -9.82168e-04  4.19291e-17
2.908081211e+00 -9.83603e-04 -9.83603e-04  1.72415e-17
2.909898761e+00 -9.80749e-04 -9.80749e-04  3.15142e-18
2.911717448e+00 -9.76278e-04 -9.76278e-04  1.22247e-18
2.913537272e+00 -9.73091e-04 -9.73091e-04  3.13334e-17
2.915358232e+00 -9.63512e-04 -9.63512e-04  1.23410e-16
2.917180331e+00 -9.68076e-04 -9.68076e-04  8.01083e-17
2.919003569e+00 -9.64372e-04 -9.64372e-04  6.59052e-18
2.920827946e+00 -9.61858e-04 -9.61858e-04  1.26294e-17
2.922653464e+00 -9.57068e-04 -9.57068e-04  2.81234e-16
2.924480122e+00 -9.54193e-04 -9.54193e-04  3.61820e-16
2.926307922e+00 -9.50572e-04 -9.50572e-04  3.05815e-17
2.928136865e+00 -9.38865e-04 -9.38865e-04  0.00000e+00
2.929966950e+00 -9.45394e-04 -9.45394e-04  1.96835e-17
2.931798180e+00 -9.42605e-04 -9.42605e-04  2.33504e-18
2.933630553e+00 -9.37202e-04 -9.37202e-04  4.12046e-17
2.935464072e+00 -9.32847e-04 -9.32847e-04  5.57838e-18
2.937298738e+00 -9.32365e-04 -9.32365e-04  1.11773e-16
2.939134549e+00 -9.22765e-04 -9.22765e-04  7.42663e-17
2.940971508e+00 -9.26515e-04 -9.26515e-04  0.00000e+00
2.942809616e+00 -9.20902e-04 -9.20902e-04  1.52266e-17
2.944648872e+00 -9.20549e-04 -9.20549e-04  1.59659e-16
2.946489277e+00 -9.16196e-04 -9.16196e-04  2.23537e-16
2.948330833e+00 -9.14886e-04 -9.14886e-04  1.97126e-16
2.950173540e+00 -9.10639e-04 -9.10639e-04  1.08688e-17
2.952017398e+00 -9.08899e-04 -9.08899e-04  1.16580e-18
2.953862409e+00 -9.05974e-04 -9.05974e-04  3.07728e-16
2.955708573e+00 -9.01749e-04 -9.01749e-04  1.47519e-16
2.957555891e+00 -8.99746e-04 -8.99746e-04  0.00000e+00
2.959404363e+00 -8.96470e-04 -8.96470e-04  7.19460e-18
